Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
40,0.00000000,0.00000000,0.00000000,-0.08433713,-0.09644984,-0.03034824,-0.07197223,0.02490569,0.02931129,-0.10793314,-0.14201659,-0.11867578,-0.06576357,0.03007813,-0.03397158,-0.07651131,-0.09663174,-0.00984037,-0.10276070,0.00000000,0.00000000,0.00000000,0,16:49:46.0,0,0
41,0.00000000,0.00000000,0.00000000,-0.02449164,0.07296585,-0.00814577,-0.04793294,0.17053646,0.01660641,-0.11297468,-0.13650912,-0.13653116,-0.06563424,0.08620602,-0.02999145,-0.05693553,-0.09445675,-0.01990909,-0.08634291,0.00000000,0.00000000,0.00000000,0,16:49:46.0,0,0
42,0.00000000,0.00000000,0.00000000,-0.03263814,0.04661845,-0.01465944,-0.04727992,0.14520499,0.02972380,-0.11335796,-0.12918901,-0.11446732,-0.06470904,0.06286802,-0.04094676,-0.07504925,-0.12563919,-0.02172298,-0.09373682,0.00000000,0.00000000,0.00000000,0,16:49:46.0,0,0
43,0.00000000,0.00000000,0.00000000,-0.06083427,-0.01205397,-0.02603750,-0.06448006,0.09546611,0.02895907,-0.12056044,-0.14436702,-0.12558219,-0.07645360,0.01461262,-0.04256513,-0.09158798,-0.18241361,-0.02473063,-0.09970016,0.00000000,0.00000000,0.00000000,0,16:49:46.0,0,0
44,0.00000000,0.00000000,0.00000000,-0.08592065,-0.08824613,-0.03696243,-0.07672803,0.02919778,0.02968363,-0.13149454,-0.14653173,-0.12980683,-0.08217178,-0.03774390,-0.04662387,-0.10921181,-0.23158789,-0.03005966,-0.11296283,0.00000000,0.00000000,0.00000000,0,16:49:46.0,0,0
45,0.00000000,0.00000000,0.00000000,-0.03944957,0.09492020,-0.01105398,-0.04983783,0.17929117,0.01971314,-0.09937236,-0.15446916,-0.10734882,-0.06936698,0.11325037,-0.03401918,-0.05539397,-0.05930895,-0.02557663,-0.11795486,0.00000000,0.00000000,0.00000000,0,16:49:47.0,0,0
46,0.00000000,0.00000000,0.00000000,-0.04541010,0.08595422,-0.01224320,-0.04727992,0.17948551,0.01359376,-0.10860832,-0.14326517,-0.11885272,-0.07406655,0.10460370,-0.03696702,-0.06284313,-0.08961919,-0.02467662,-0.10985193,0.00000000,0.00000000,0.00000000,0,16:49:47.0,0,0
47,0.00000000,0.00000000,0.00000000,-0.06573728,0.02443146,-0.01774517,-0.05048519,0.13347106,0.01236743,-0.11427707,-0.14602707,-0.12679964,-0.08125959,0.05210660,-0.04364419,-0.08007824,-0.14656548,-0.02840245,-0.12409253,0.00000000,0.00000000,0.00000000,0,16:49:47.0,0,0
48,0.00000000,0.00000000,0.00000000,-0.10014325,-0.04916627,-0.02581738,-0.06756655,0.07333136,0.01773421,-0.13247870,-0.15712546,-0.14852645,-0.09270062,0.00034341,-0.04530196,-0.10629096,-0.20636249,-0.03673130,-0.12805709,0.00000000,0.00000000,0.00000000,0,16:49:47.0,0,0
49,0.00000000,0.00000000,0.00000000,-0.10910004,-0.03136528,-0.03624476,-0.08255596,0.07574077,0.02708805,-0.12594631,-0.17700712,-0.14753114,-0.09166632,0.06290092,-0.04590540,-0.07419275,-0.09154618,-0.03065575,-0.13005215,0.00000000,0.00000000,0.00000000,0,16:49:47.0,0,0
50,0.00000000,0.00000000,0.00000000,-0.04834380,0.11746944,-0.01533116,-0.06035259,0.20603585,0.02753868,-0.12718606,-0.14783777,-0.13339680,-0.07246120,0.12795511,-0.03584382,-0.04919232,-0.07882082,-0.02312723,-0.10438085,0.00000000,0.00000000,0.00000000,0,16:49:48.0,0,0
51,0.00000000,0.00000000,0.00000000,-0.05155123,0.08067252,-0.01323540,-0.05614603,0.18610914,0.02179300,-0.12200825,-0.13048835,-0.13913010,-0.06733585,0.10666338,-0.04105747,-0.05630913,-0.11213439,-0.02081990,-0.09966452,0.00000000,0.00000000,0.00000000,0,16:49:48.0,0,0
52,0.00000000,0.00000000,0.00000000,-0.07210378,0.00962727,-0.01870955,-0.06006390,0.13481477,0.02878090,-0.11801558,-0.12751628,-0.14539117,-0.06768207,0.06314124,-0.04544446,-0.07273772,-0.16388863,-0.02415989,-0.10289388,0.00000000,0.00000000,0.00000000,0,16:49:48.0,0,0
53,0.00000000,0.00000000,0.00000000,-0.09913441,-0.07093090,-0.02768400,-0.07687017,0.06832606,0.03572735,-0.12064426,-0.13986179,-0.15989125,-0.07440763,0.00849517,-0.05486584,-0.09607212,-0.22740757,-0.02602669,-0.11215725,0.00000000,0.00000000,0.00000000,0,16:49:48.0,0,0
54,0.00000000,0.00000000,0.00000000,-0.06842573,0.08579581,-0.02029217,-0.07475547,0.19468006,0.03457589,-0.11327391,-0.13711041,-0.14523035,-0.05227556,0.13446635,-0.04332940,-0.03537196,-0.08117669,-0.01087685,-0.09491810,0.00000000,0.00000000,0.00000000,0,16:49:48.0,0,0
55,0.00000000,0.00000000,0.00000000,-0.05716544,0.07760179,-0.00798874,-0.05078443,0.19457173,0.03326875,-0.09566639,-0.09709389,-0.11141554,-0.03174601,0.14108874,-0.02303929,-0.02258607,-0.08754303,-0.00138869,-0.08697343,0.00000000,0.00000000,0.00000000,0,16:49:49.0,0,0
56,0.00000000,0.00000000,0.00000000,-0.05269216,0.05137683,0.00832012,-0.04137698,0.16830841,0.02999577,-0.12557285,-0.11812969,-0.14854892,-0.04494455,0.11156398,-0.02853793,-0.04872626,-0.14820734,0.00209250,-0.08253478,0.00000000,0.00000000,0.00000000,0,16:49:49.0,0,0
57,0.00000000,0.00000000,0.00000000,-0.07356016,-0.03290718,-0.00713832,-0.06015961,0.11308034,0.03806684,-0.11538562,-0.10694579,-0.14191958,-0.04102862,0.06039495,-0.03203729,-0.05864999,-0.18998612,0.00061304,-0.08905695,0.00000000,0.00000000,0.00000000,0,16:49:49.0,0,0
58,0.00000000,0.00000000,0.00000000,-0.10189647,-0.12282943,-0.01143254,-0.08303875,0.02769645,0.04205053,-0.12703578,-0.12146986,-0.16021933,-0.04829563,0.01089589,-0.03535939,-0.07179067,-0.19963941,-0.00168196,-0.09794737,0.00000000,0.00000000,0.00000000,0,16:49:49.0,0,0
