Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
69,0.00000000,0.00000000,0.00000000,0.00000000,0.10421216,0.00000000,0.00000000,-0.20443471,0.08140127,-0.13549647,-11.83495426,-0.04007928,0.13246772,-1.43723547,-0.03751254,-0.09555332,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:16.0,0,0
70,0.00000000,0.00000000,0.00000000,0.00000000,-0.04127637,0.00000000,0.00000000,-0.38487387,0.26402947,-0.21590129,0.00000000,-0.00106037,0.14841843,-1.15068614,-0.06170735,-0.14775474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:16.0,0,0
71,0.00000000,0.00000000,0.00000000,0.00000000,0.11457968,0.00000000,0.00000000,-0.23725787,-0.00219698,-0.04402339,0.00000000,-0.05031835,0.31053573,-0.70905483,-0.00449372,-0.07193285,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:16.0,0,0
72,0.00000000,0.00000000,0.00000000,0.00000000,0.04346275,0.00000000,0.00000000,-0.40059608,0.50190473,0.10961789,0.00000000,0.00759266,0.33350316,-0.46066365,0.00410489,-0.07262965,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:16.0,0,0
73,0.00000000,0.00000000,0.00000000,0.00000000,-0.12233149,0.00000000,0.00000000,-0.08512624,0.60799319,0.01039021,0.00000000,0.03337780,0.21545750,-0.76881909,-0.01598895,-0.10068926,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:16.0,0,0
74,0.00000000,0.00000000,0.00000000,0.00000000,-0.12634800,0.00000000,0.00000000,-0.35218424,0.69037300,-0.06321732,-7.07531738,0.03998107,0.20406626,-1.21731782,-0.04838116,-0.17164846,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:17.0,0,0
75,0.00000000,0.00000000,0.00000000,0.00000000,-0.03536164,0.00000000,0.00000000,-0.27089483,0.61163485,-0.10071997,0.00000000,0.02739839,0.45913616,0.59682405,0.02453294,-0.13705197,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:17.0,0,0
76,0.00000000,0.00000000,0.00000000,0.00000000,0.12668830,0.00000000,0.00000000,-0.23725787,0.61917180,-0.01807178,0.00000000,0.02920412,0.44657734,0.33482882,0.06608730,-0.08931221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:17.0,0,0
77,0.00000000,0.00000000,0.00000000,0.00000000,-0.03088504,0.00000000,0.00000000,-0.36803499,0.55639428,-0.09167930,0.00000000,0.04043827,0.43500113,0.27633780,0.03206211,-0.12277648,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:17.0,0,0
78,0.00000000,0.00000000,0.00000000,0.00000000,0.05941853,0.00000000,0.00000000,0.12753871,0.44115695,-0.14484204,0.00000000,-0.01505808,0.38781801,0.41373396,0.00506529,-0.16600773,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:17.0,0,0
79,0.00000000,0.00000000,0.00000000,0.00000000,-0.03640081,0.00000000,0.00000000,-0.08512624,0.40223986,-0.13634740,0.00000000,-0.01087256,0.41239795,1.37794876,0.02230910,-0.14109613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:18.0,0,0
80,0.00000000,0.00000000,0.00000000,0.00000000,-0.01727848,0.00000000,0.00000000,0.41061857,0.39533025,0.00879923,0.00000000,-0.02481536,0.57168788,1.08483005,0.03800277,-0.13645953,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:18.0,0,0
81,0.00000000,0.00000000,0.00000000,0.00000000,-0.04016027,0.00000000,0.00000000,-0.95327854,0.45538184,-0.02711244,0.00000000,-0.01055492,0.37624183,0.16308312,0.03637911,-0.12912166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:18.0,0,0
82,0.00000000,0.00000000,0.00000000,0.00000000,-0.06900954,0.00000000,0.00000000,0.39145154,0.48398364,-0.10071997,0.00000000,-0.01487938,0.32192698,0.23864618,-0.01563951,-0.19851567,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:18.0,0,0
